Metric,Split,Test,Language_F,Language_p,Language_sig,Language_eta2,Language_omega2,Unlearning_F,Unlearning_p,Unlearning_sig,Unlearning_eta2,Unlearning_omega2,Interaction_F,Interaction_p,Interaction_sig,Interaction_eta2,Interaction_omega2
Exact Match,forget,ART-ANOVA (Rank-based),2.1138211382114425,0.14998642680423457,No,,,801.2439024390249,8.822069671244196e-43,Yes,,,2.2195121951219905,0.14030878384507864,No,,
BLEU,forget,ART-ANOVA (Rank-based),19.90909389480135,2.696458320827112e-05,Yes,,,588.8592901878917,4.316695664498442e-38,Yes,,,14.263129487244672,0.00030876367576152214,Yes,,
ROUGE,forget,ART-ANOVA (Rank-based),0.014527716186257252,0.9043724840534837,No,,,410.27432727272753,8.415253226639268e-33,Yes,,,0.13296319290466535,0.7163660233420277,No,,
Writing Style,forget,ART-ANOVA (Rank-based),10.817611815396674,0.0015100495263459493,Yes,,,569.2804179181489,1.38269511079605e-37,Yes,,,0.5616102082264829,0.4558664508738517,No,,
Narrative Voice,forget,ART-ANOVA (Rank-based),5.8211662091572505,0.018181994444855628,Yes,,,550.884697953285,4.264911683033677e-37,Yes,,,2.402771052337909,0.12516870873505223,No,,
Character Similarity,forget,ART-ANOVA (Rank-based),19.677208095516058,2.970157013996148e-05,Yes,,,532.9069342795672,1.3244450927512933e-36,Yes,,,20.73585963734064,1.9145156545502334e-05,Yes,,
Plot Structure Similarity,forget,ART-ANOVA (Rank-based),7.710430175683998,0.00687203898367659,Yes,,,446.49674248466283,5.131451046746361e-34,Yes,,,2.2194513299436887,0.14031414729086167,No,,
Scene Sequence Similarity,forget,ART-ANOVA (Rank-based),14.866215836086692,0.00023584477610822914,Yes,,,529.1235640947931,1.688290317433527e-36,Yes,,,8.283074325996765,0.005160703455676179,Yes,,
WorldBuilding Similarity,forget,ART-ANOVA (Rank-based),21.441354407514503,1.4331893543487842e-05,Yes,,,392.160971879554,3.688855819050902e-32,Yes,,,6.375413823140754,0.013599957478533677,Yes,,
Parody/Satire,forget,ART-ANOVA (Rank-based),4.907894447658577,0.02965094020861178,Yes,,,0.7482171935538022,0.38969383628134246,No,,,5.764272380777578,0.01873693956255984,Yes,,
Pastiche,forget,ART-ANOVA (Rank-based),1.4001374883082875,0.2402944799955163,No,,,0.4068436799642747,0.5254440058103763,No,,,15.597998357972902,0.00017060650267100146,Yes,,
Quotation/Citation,forget,ART-ANOVA (Rank-based),0.2135181920531005,0.6453100424987821,No,,,139.22016744188028,5.019867924598423e-19,Yes,,,7.800761354951128,0.006566926297665616,Yes,,
Scènes à Faire,forget,ART-ANOVA (Rank-based),0.23534307180339367,0.6289497665395922,No,,,0.00019976891438266536,0.9887591943272339,No,,,0.019300576809036567,0.8898662850332065,No,,
