Metric,Split,Test,Language_F,Language_p,Language_sig,Language_eta2,Language_omega2,Unlearning_F,Unlearning_p,Unlearning_sig,Unlearning_eta2,Unlearning_omega2,Interaction_F,Interaction_p,Interaction_sig,Interaction_eta2,Interaction_omega2
Exact Match,retain,ART-ANOVA (Rank-based),1.0012836970475734,0.32009429395923306,No,,,1599.1001283697071,9.964761283287584e-54,Yes,,,1.0513478818999236,0.30836629169916907,No,,
BLEU,retain,ART-ANOVA (Rank-based),11.539719417584191,0.0010748581552770323,Yes,,,561.0972747165312,2.2729588650907234e-37,Yes,,,10.990208969127625,0.0013916751273891782,Yes,,
ROUGE,retain,ART-ANOVA (Rank-based),26.382460520367946,2.011688054321333e-06,Yes,,,723.073136968393,3.3468560391842035e-41,Yes,,,25.126152876540555,3.280432471318528e-06,Yes,,
Writing Style,retain,ART-ANOVA (Rank-based),3.2215881714737775,0.07654700175183629,No,,,407.97495072175843,1.0120619299517184e-32,Yes,,,0.008037529251962341,0.9287933561536835,No,,
Narrative Voice,retain,ART-ANOVA (Rank-based),0.027510379044578682,0.8686943010787513,No,,,455.8901230932247,2.564121320056514e-34,Yes,,,0.1918177457214369,0.6626184970177478,No,,
Character Similarity,retain,ART-ANOVA (Rank-based),0.2598302764810326,0.6116760506346839,No,,,220.04577667581353,2.056531404817473e-24,Yes,,,0.8271175226667157,0.3659090732058051,No,,
Plot Structure Similarity,retain,ART-ANOVA (Rank-based),2.0730408179364765,0.15392390827065885,No,,,386.9676193481342,5.694965250518517e-32,Yes,,,0.21936939872342281,0.6408270737195837,No,,
Scene Sequence Similarity,retain,ART-ANOVA (Rank-based),0.005043294886683803,0.9435666647022576,No,,,260.03063027668617,1.4868121683438014e-26,Yes,,,0.6619244282255569,0.41835805679870397,No,,
WorldBuilding Similarity,retain,ART-ANOVA (Rank-based),0.02259210552429479,0.8809106524647049,No,,,300.8182092403602,1.7220825391103806e-28,Yes,,,0.1385413804390517,0.7107447769442,No,,
Parody/Satire,retain,ART-ANOVA (Rank-based),0.4577369215100737,0.500684950686122,No,,,2.1633513462261234,0.14535895210534286,No,,,0.523339534912035,0.47158452315511046,No,,
Pastiche,retain,ART-ANOVA (Rank-based),0.29855848389747736,0.5863471645945971,No,,,0.2799722102401245,0.5982220670919582,No,,,5.213989206277485,0.0251279923696898,Yes,,
Quotation/Citation,retain,ART-ANOVA (Rank-based),4.530461920445503,0.036453399955624105,Yes,,,128.81777803340594,3.450172092186731e-18,Yes,,,0.4312545378891329,0.5133068962177019,No,,
Scènes à Faire,retain,ART-ANOVA (Rank-based),0.21493928613339683,0.6442144430721233,No,,,1.9082470046262634,0.17110254972146935,No,,,0.0650762524250028,0.7993169330147806,No,,
