Language,Split,Category1,Category2,Test,N_samples,Computational_reduction_mean,Stylistic_reduction_mean,Difference,TestStat_t,p_value,Significant,Cohen_d,Interpretation,Content_reduction_mean,Exceptions_reduction_mean
English,forget,Computational,Stylistic,Differential Effect Contrast,7,-0.9477809393012431,-0.8178571428571428,-0.12992379644410024,-2.4941162686324794,0.04690015957785458,Yes,-0.9426873410974153,No selective category difference,,
English,forget,Computational,Content,Differential Effect Contrast,7,-0.9477809393012431,,-0.18730474882505266,-3.5922130625295967,0.011473324013563439,Yes,-1.3577289171158613,No selective category difference,-0.7604761904761904,
English,forget,Computational,Exceptions,Differential Effect Contrast,7,-0.9477809393012431,,-0.9349237964441002,-28.238210861031252,1.305370920543857e-07,Yes,-10.673040486813115,No selective category difference,,-0.012857142857142853
English,forget,Stylistic,Content,Differential Effect Contrast,7,,-0.8178571428571428,-0.05738095238095242,-0.8277618317334573,0.4394806730864303,No,-0.3128645645082888,No selective category difference,-0.7604761904761904,
English,forget,Stylistic,Exceptions,Differential Effect Contrast,7,,-0.8178571428571428,-0.8049999999999999,-16.556216154411945,3.096318296469713e-06,Yes,-6.257661513829166,No selective category difference,,-0.012857142857142853
English,forget,Content,Exceptions,Differential Effect Contrast,7,,,-0.7476190476190475,-11.995453718810019,2.0352007229722413e-05,Yes,-4.533855343336604,No selective category difference,-0.7604761904761904,-0.012857142857142853
Dutch,forget,Computational,Stylistic,Differential Effect Contrast,7,-0.91018766143811,-0.9023809523809524,-0.007806709057157635,-0.23011788969148247,0.8256450499365685,No,-0.08697638690723665,No selective category difference,,
Dutch,forget,Computational,Content,Differential Effect Contrast,7,-0.91018766143811,,-6.861381906242414e-05,-0.0018786615280849848,0.998561950317133,No,-0.0007100673144253508,No selective category difference,-0.9101190476190476,
Dutch,forget,Computational,Exceptions,Differential Effect Contrast,7,-0.91018766143811,,-0.6988781376285862,-10.664844622373067,4.0080430862524196e-05,Yes,-4.030932377420528,No selective category difference,,-0.21130952380952386
Dutch,forget,Stylistic,Content,Differential Effect Contrast,7,,-0.9023809523809524,0.007738095238095211,0.24542868252995176,0.8143037426350836,No,0.09276332265378213,No selective category difference,-0.9101190476190476,
Dutch,forget,Stylistic,Exceptions,Differential Effect Contrast,7,,-0.9023809523809524,-0.6910714285714286,-9.811072982033899,6.456810994628914e-05,Yes,-3.7082370293095095,No selective category difference,,-0.21130952380952386
Dutch,forget,Content,Exceptions,Differential Effect Contrast,7,,,-0.6988095238095238,-8.120468783801277,0.00018725344273244477,Yes,-3.0692487044573302,No selective category difference,-0.9101190476190476,-0.21130952380952386
