Metric,Split,Model1,Model2,N1,N2,Mean1,Mean2,Cohen_d,Hedge_g,Glass_delta,Cliff_delta,d_interpretation,cliff_interpretation
Exact Match,forget,Baseline (English),Baseline (Dutch),21,21,0.0,0.0,,,,0.0,large,negligible
Exact Match,forget,Baseline (English),Finetuned (English),21,20,0.0,1.0,,,,-1.0,large,large
Exact Match,forget,Baseline (English),Finetuned (Dutch),21,20,0.0,0.9,-4.189272013130682,-4.108189329005572,-2.924038303442689,-0.9,large,large
Exact Match,forget,Baseline (Dutch),Finetuned (English),21,20,0.0,1.0,,,,-1.0,large,large
Exact Match,forget,Baseline (Dutch),Finetuned (Dutch),21,20,0.0,0.9,-4.189272013130682,-4.108189329005572,-2.924038303442689,-0.9,large,large
Exact Match,forget,Finetuned (English),Finetuned (Dutch),20,20,1.0,0.9,0.4594682917363406,0.45033978262899604,0.32489314482696535,0.1,small,negligible
BLEU,forget,Baseline (English),Baseline (Dutch),21,21,0.07545588551892313,0.019332728655326356,1.1149671994230825,1.0939300824528357,1.6215555668413897,0.655328798185941,large,large
BLEU,forget,Baseline (English),Finetuned (English),21,20,0.07545588551892313,1.0,-20.75459969518235,-20.352897765598176,,-1.0,large,large
BLEU,forget,Baseline (English),Finetuned (Dutch),21,20,0.07545588551892313,0.9619289340101522,-6.984910145493254,-6.849718336225642,-5.206615431195033,-1.0,large,large
BLEU,forget,Baseline (Dutch),Finetuned (English),21,20,0.019332728655326356,1.0,-39.566599867232014,-38.80079470851139,,-1.0,large,large
BLEU,forget,Baseline (Dutch),Finetuned (Dutch),21,20,0.019332728655326356,0.9619289340101522,-7.764709053913086,-7.614424362547026,-5.536249473731042,-1.0,large,large
BLEU,forget,Finetuned (English),Finetuned (Dutch),20,20,1.0,0.9619289340101522,0.31622776601683833,0.3099450951688217,0.22360679774997927,0.05,small,negligible
ROUGE,forget,Baseline (English),Baseline (Dutch),21,21,0.0960531010367988,0.08461228360821928,0.168295799558045,0.16512040711355358,0.2593573452156004,-0.022675736961451247,negligible,negligible
ROUGE,forget,Baseline (English),Finetuned (English),21,20,0.0960531010367988,1.0,-14.777275197797906,-14.49126341977601,,-1.0,large,large
ROUGE,forget,Baseline (English),Finetuned (Dutch),21,20,0.0960531010367988,0.9663999999999999,-7.168251200558669,-7.029510854741404,-5.79212747049958,-1.0,large,large
ROUGE,forget,Baseline (Dutch),Finetuned (English),21,20,0.08461228360821928,1.0,-28.977698058867144,-28.416839386760035,,-1.0,large,large
ROUGE,forget,Baseline (Dutch),Finetuned (Dutch),21,20,0.08461228360821928,0.9663999999999999,-8.050250427839062,-7.894439129235725,-5.868265701120022,-1.0,large,large
ROUGE,forget,Finetuned (English),Finetuned (Dutch),20,20,1.0,0.9663999999999999,0.31622776601683866,0.309945095168822,0.22360679774997946,0.05,small,negligible
Writing Style,forget,Baseline (English),Baseline (Dutch),21,21,0.17142857142857143,0.02857142857142857,0.8160886385685479,0.8006907397276318,1.5831189671532586,0.3129251700680272,large,small
Writing Style,forget,Baseline (English),Finetuned (English),21,20,0.17142857142857143,1.0,-5.01908798883137,-4.92194435033786,,-1.0,large,large
Writing Style,forget,Baseline (English),Finetuned (Dutch),21,20,0.17142857142857143,0.93,-3.811400810299797,-3.7376317623585105,-4.762662012502914,-0.9714285714285714,large,large
Writing Style,forget,Baseline (Dutch),Finetuned (English),21,20,0.02857142857142857,1.0,-15.032796227116732,-14.741838880785439,,-1.0,large,large
Writing Style,forget,Baseline (Dutch),Finetuned (Dutch),21,20,0.02857142857142857,0.93,-7.0102235163346585,-6.874541770857213,-5.659585178699319,-1.0,large,large
Writing Style,forget,Finetuned (English),Finetuned (Dutch),20,20,1.0,0.93,0.621536043960371,0.6091876457359927,0.43949235143623844,0.2,medium,small
Narrative Voice,forget,Baseline (English),Baseline (Dutch),21,21,0.28095238095238095,0.09523809523809523,0.6992043664469862,0.6860118312310054,0.9230930832457442,0.3129251700680272,medium,small
Narrative Voice,forget,Baseline (English),Finetuned (English),21,20,0.28095238095238095,1.0,-3.165445620114655,-3.1041789306930805,,-1.0,large,large
Narrative Voice,forget,Baseline (English),Finetuned (Dutch),21,20,0.28095238095238095,0.975,-2.889627107336479,-2.8336988407428696,-6.207750623249415,-0.969047619047619,large,large
Narrative Voice,forget,Baseline (Dutch),Finetuned (English),21,20,0.09523809523809523,1.0,-6.27988652683438,-6.158340335992424,,-1.0,large,large
Narrative Voice,forget,Baseline (Dutch),Finetuned (Dutch),21,20,0.09523809523809523,0.975,-5.369318630424455,-5.265396334351723,-7.868829692249258,-0.9904761904761905,large,large
Narrative Voice,forget,Finetuned (English),Finetuned (Dutch),20,20,1.0,0.975,0.31622776601683816,0.3099450951688215,0.22360679774997913,0.05,small,negligible
Character Similarity,forget,Baseline (English),Baseline (Dutch),21,21,0.32857142857142857,0.014285714285714285,1.9051368209951909,1.8691908432405646,4.8007935851918315,0.6938775510204082,large,large
Character Similarity,forget,Baseline (English),Finetuned (English),21,20,0.32857142857142857,0.95,-3.219675211926006,-3.157358917501632,-4.037957657135142,-0.9428571428571428,large,large
Character Similarity,forget,Baseline (English),Finetuned (Dutch),21,20,0.32857142857142857,0.9650000000000001,-3.5290774724877685,-3.4607727472138117,-5.383865553821506,-0.9714285714285714,large,large
Character Similarity,forget,Baseline (Dutch),Finetuned (English),21,20,0.014285714285714285,0.95,-7.983787142882578,-7.8292622304396895,-6.08014313890464,-1.0,large,large
Character Similarity,forget,Baseline (Dutch),Finetuned (Dutch),21,20,0.014285714285714285,0.9650000000000001,-10.018350851669773,-9.824447286798744,-8.042564592745705,-1.0,large,large
Character Similarity,forget,Finetuned (English),Finetuned (Dutch),20,20,0.95,0.9650000000000001,-0.1093146172046145,-0.10714280361776785,-0.12689245413047423,-0.005,negligible,negligible
Plot Structure Similarity,forget,Baseline (English),Baseline (Dutch),21,21,0.16666666666666666,0.023809523809523808,0.859602382591879,0.843383469712787,1.309307341415954,0.36961451247165533,large,medium
Plot Structure Similarity,forget,Baseline (English),Finetuned (English),21,20,0.16666666666666666,0.99,-5.405846476159169,-5.301217189523831,-18.410293014748273,-1.0,large,large
Plot Structure Similarity,forget,Baseline (English),Finetuned (Dutch),21,20,0.16666666666666666,0.9400000000000001,-3.5655000627786304,-3.496490384144205,-3.426145890902545,-0.9285714285714286,large,large
Plot Structure Similarity,forget,Baseline (Dutch),Finetuned (English),21,20,0.023809523809523808,0.99,-11.483270565599655,-11.261013715942887,-21.60467583974797,-1.0,large,large
Plot Structure Similarity,forget,Baseline (Dutch),Finetuned (Dutch),21,20,0.023809523809523808,0.9400000000000001,-5.209874659880332,-5.109038376140712,-4.059054614591439,-0.9476190476190476,large,large
Plot Structure Similarity,forget,Finetuned (English),Finetuned (Dutch),20,20,0.99,0.9400000000000001,0.3073001783311969,0.30119487677494794,0.2215180532911125,0.0525,small,negligible
Scene Sequence Similarity,forget,Baseline (English),Baseline (Dutch),21,21,0.24761904761904763,0.014285714285714285,1.3713068424464125,1.3454331284379897,3.564225540521209,0.5419501133786848,large,large
Scene Sequence Similarity,forget,Baseline (English),Finetuned (English),21,20,0.24761904761904763,0.9800000000000001,-4.275471678651104,-4.192720613903018,-11.897277541520786,-1.0,large,large
Scene Sequence Similarity,forget,Baseline (English),Finetuned (Dutch),21,20,0.24761904761904763,0.9400000000000001,-3.483881266263072,-3.4164513062708832,-4.411629028633325,-0.9619047619047619,large,large
Scene Sequence Similarity,forget,Baseline (Dutch),Finetuned (English),21,20,0.014285714285714285,0.9800000000000001,-15.186071585052389,-14.892147618890084,-15.687697564502052,-1.0,large,large
Scene Sequence Similarity,forget,Baseline (Dutch),Finetuned (Dutch),21,20,0.014285714285714285,0.9400000000000001,-7.769022964567147,-7.618654778156169,-5.898354079548269,-1.0,large,large
Scene Sequence Similarity,forget,Finetuned (English),Finetuned (Dutch),20,20,0.9800000000000001,0.9400000000000001,0.33554819712314476,0.3288816766504995,0.2548671515854192,0.06,small,negligible
WorldBuilding Similarity,forget,Baseline (English),Baseline (Dutch),21,21,0.33809523809523806,0.02857142857142857,1.3868767481761681,1.3607092623615233,3.4300910954987267,0.5782312925170068,large,large
WorldBuilding Similarity,forget,Baseline (English),Finetuned (English),21,20,0.33809523809523806,1.0,-3.056038183018827,-2.9968890568958817,,-0.9523809523809523,large,large
WorldBuilding Similarity,forget,Baseline (English),Finetuned (Dutch),21,20,0.33809523809523806,0.93,-2.332466890264183,-2.2873223698074567,-3.1241828717359947,-0.8595238095238096,large,large
WorldBuilding Similarity,forget,Baseline (Dutch),Finetuned (English),21,20,0.02857142857142857,1.0,-15.032796227116732,-14.741838880785439,,-1.0,large,large
WorldBuilding Similarity,forget,Baseline (Dutch),Finetuned (Dutch),21,20,0.02857142857142857,0.93,-6.124518948800796,-6.005979872372394,-4.757906819144198,-0.9952380952380953,large,large
WorldBuilding Similarity,forget,Finetuned (English),Finetuned (Dutch),20,20,1.0,0.93,0.5225136628445587,0.5121325966953291,0.36947295426000876,0.15,medium,small
Parody/Satire,forget,Baseline (English),Baseline (Dutch),21,21,0.16666666666666666,0.0,0.9759000729485332,0.957486864024976,,0.3333333333333333,large,medium
Parody/Satire,forget,Baseline (English),Finetuned (English),21,20,0.16666666666666666,0.04,0.6513999390934838,0.6387921983368358,0.9948641564327712,0.25,medium,small
