Metric,Split,Model1,Model2,N1,N2,Mean1,Mean2,Cohen_d,Hedge_g,Glass_delta,Cliff_delta,d_interpretation,cliff_interpretation
Exact Match,retain,Baseline (English),Baseline (Dutch),21,21,0.0,0.0,,,,0.0,large,negligible
Exact Match,retain,Baseline (English),Finetuned (English),21,20,0.0,1.0,,,,-1.0,large,large
Exact Match,retain,Baseline (English),Finetuned (Dutch),21,20,0.0,0.95,-6.086871117413279,-5.969060708689151,-4.2485291572496,-0.95,large,large
Exact Match,retain,Baseline (Dutch),Finetuned (English),21,20,0.0,1.0,,,,-1.0,large,large
Exact Match,retain,Baseline (Dutch),Finetuned (Dutch),21,20,0.0,0.95,-6.086871117413279,-5.969060708689151,-4.2485291572496,-0.95,large,large
Exact Match,retain,Finetuned (English),Finetuned (Dutch),20,20,1.0,0.95,0.31622776601683816,0.3099450951688215,0.22360679774997913,0.05,small,negligible
BLEU,retain,Baseline (English),Baseline (Dutch),21,21,0.09250307010555814,0.03555361874104843,1.0569860689051473,1.0370429355295785,2.1318205072151484,0.546485260770975,large,large
BLEU,retain,Baseline (English),Finetuned (English),21,20,0.09250307010555814,1.0,-17.758509649562438,-17.414796559570906,,-1.0,large,large
BLEU,retain,Baseline (English),Finetuned (Dutch),21,20,0.09250307010555814,1.0,-17.758509649562438,-17.414796559570906,,-1.0,large,large
BLEU,retain,Baseline (Dutch),Finetuned (English),21,20,0.03555361874104843,1.0,-50.41461844369851,-49.438851635110794,,-1.0,large,large
BLEU,retain,Baseline (Dutch),Finetuned (Dutch),21,20,0.03555361874104843,1.0,-50.41461844369851,-49.438851635110794,,-1.0,large,large
BLEU,retain,Finetuned (English),Finetuned (Dutch),20,20,1.0,1.0,,,,0.0,large,negligible
ROUGE,retain,Baseline (English),Baseline (Dutch),21,21,0.1517969923104505,0.05630665685108072,1.4623809881448349,1.4347888940288946,1.9392703692263737,0.7278911564625851,large,large
ROUGE,retain,Baseline (English),Finetuned (English),21,20,0.1517969923104505,1.0,-15.16160459777968,-14.86815418620975,,-1.0,large,large
ROUGE,retain,Baseline (English),Finetuned (Dutch),21,20,0.1517969923104505,1.0,-15.16160459777968,-14.86815418620975,,-1.0,large,large
ROUGE,retain,Baseline (Dutch),Finetuned (English),21,20,0.05630665685108072,1.0,-26.762528325228672,-26.244543906030696,,-1.0,large,large
ROUGE,retain,Baseline (Dutch),Finetuned (Dutch),21,20,0.05630665685108072,1.0,-26.762528325228672,-26.244543906030696,,-1.0,large,large
ROUGE,retain,Finetuned (English),Finetuned (Dutch),20,20,1.0,1.0,,,,0.0,large,negligible
Writing Style,retain,Baseline (English),Baseline (Dutch),21,21,0.22857142857142856,0.14285714285714285,0.3563483225498992,0.3496247692942407,0.3703280399090206,0.17687074829931973,small,small
