Metric,Split,Language,Test,N_pairs,Baseline_mean,Treated_mean,Mean_diff,TestStat,p_value,Significant,Cohen_d_paired
Exact Match,forget,English,Wilcoxon signed-rank,56,0.0,1.0,1.0,0.0,7.247101964362887e-14,Yes,
BLEU,forget,English,Wilcoxon signed-rank,56,0.10482249436545796,1.0,0.895177505634542,0.0,7.319491825236174e-11,Yes,15.596409746094455
ROUGE,forget,English,Wilcoxon signed-rank,56,0.13245338115341498,1.0,0.8675466188465849,0.0,7.319491825236174e-11,Yes,9.918426791110127
Writing Style,forget,English,Wilcoxon signed-rank,56,0.2285714285714286,1.0,0.7714285714285715,0.0,2.69413936589318e-11,Yes,3.241886737676282
Narrative Voice,forget,English,Wilcoxon signed-rank,56,0.3339285714285714,1.0,0.6660714285714285,0.0,3.2872378787279024e-11,Yes,2.1526869009827188
Character Similarity,forget,English,Wilcoxon signed-rank,56,0.44642857142857145,0.9553571428571429,0.5089285714285714,0.0,2.3038700479699e-11,Yes,2.413521505708991
Plot Structure Similarity,forget,English,Wilcoxon signed-rank,56,0.23571428571428574,0.9928571428571429,0.7571428571428571,0.0,3.843590454788003e-11,Yes,3.3219508037984458
Scene Sequence Similarity,forget,English,Wilcoxon signed-rank,56,0.3339285714285714,0.9714285714285714,0.6375000000000001,0.0,3.6656815140867194e-11,Yes,2.8097806942302235
WorldBuilding Similarity,forget,English,Wilcoxon signed-rank,56,0.3178571428571429,1.0,0.6821428571428572,0.0,1.553268795916217e-10,Yes,2.1222698606886685
Parody/Satire,forget,English,Wilcoxon signed-rank,56,0.16964285714285715,0.010714285714285714,-0.15892857142857145,3.0,1.723369029411242e-05,Yes,-0.6286190923739329
Pastiche,forget,English,Wilcoxon signed-rank,56,0.21428571428571427,0.09999999999999999,-0.1142857142857143,124.0,0.03588643962919671,Yes,-0.36925540032104276
Quotation/Citation,forget,English,Wilcoxon signed-rank,56,0.12142857142857143,0.37321428571428567,0.25178571428571433,177.0,3.144318314512771e-06,Yes,0.8558883214037514
Scènes à Faire,forget,English,Wilcoxon signed-rank,56,0.5321428571428571,0.4571428571428572,-0.07500000000000002,433.0,0.234139736641239,No,-0.16781955977386726
Exact Match,forget,Dutch,Wilcoxon signed-rank,43,0.0,0.8837209302325582,0.8837209302325582,0.0,7.074463098970675e-10,Yes,2.7245652522840205
BLEU,forget,Dutch,Wilcoxon signed-rank,43,0.015752589983915245,0.9468775823397475,0.9311249923558325,0.0,1.1082235555909394e-08,Yes,4.781038504747949
ROUGE,forget,Dutch,Wilcoxon signed-rank,43,0.08728608885720887,0.9531162790697675,0.8658301902125586,0.0,1.1055111195269433e-08,Yes,4.920347605112224
Writing Style,forget,Dutch,Wilcoxon signed-rank,43,0.0069767441860465115,0.9069767441860465,0.9,0.0,2.074751224505756e-09,Yes,5.001470372035901
Narrative Voice,forget,Dutch,Wilcoxon signed-rank,43,0.08139534883720931,0.9651162790697675,0.8837209302325582,0.0,1.4400407563008076e-09,Yes,3.682623704971094
Character Similarity,forget,Dutch,Wilcoxon signed-rank,43,0.013953488372093023,0.9651162790697675,0.9511627906976744,0.0,3.936194278523076e-10,Yes,6.776582868637032
Plot Structure Similarity,forget,Dutch,Wilcoxon signed-rank,43,0.0,0.9162790697674418,0.9162790697674418,0.0,9.037280258248571e-10,Yes,3.5370021949137627
Scene Sequence Similarity,forget,Dutch,Wilcoxon signed-rank,43,0.02093023255813953,0.8813953488372093,0.86046511627907,0.0,2.4016634167172904e-09,Yes,3.7403188707995483
WorldBuilding Similarity,forget,Dutch,Wilcoxon signed-rank,43,0.0069767441860465115,0.9209302325581394,0.913953488372093,0.0,1.853044717193013e-09,Yes,4.581196640474487
Parody/Satire,forget,Dutch,Wilcoxon signed-rank,43,0.0,0.09302325581395349,0.09302325581395349,0.0,0.0455002638963584,Yes,0.3165104909423466
Pastiche,forget,Dutch,Wilcoxon signed-rank,43,0.0,0.21627906976744188,0.21627906976744188,0.0,0.0005406177079521942,Yes,0.6100698607928916
Quotation/Citation,forget,Dutch,Wilcoxon signed-rank,43,0.0,0.4511627906976744,0.4511627906976744,0.0,4.6325658328169695e-09,Yes,2.500365421798365
Scènes à Faire,forget,Dutch,Wilcoxon signed-rank,43,0.5534883720930233,0.49534883720930234,-0.05813953488372093,331.0,0.5622692320114016,No,-0.1540198789652278
