Metric,Split,Language,Test,N_pairs,Baseline_mean,Treated_mean,Mean_diff,TestStat,p_value,Significant,Cohen_d_paired
Exact Match,retain,English,Wilcoxon signed-rank,24,0.0,1.0,1.0,0.0,9.633570086430965e-07,Yes,
BLEU,retain,English,Wilcoxon signed-rank,24,0.11129379119509007,1.0,0.8887062088049099,0.0,1.794810383208005e-05,Yes,12.495683209407886
ROUGE,retain,English,Wilcoxon signed-rank,24,0.15961617600865327,1.0,0.8403838239913467,0.0,1.794810383208005e-05,Yes,11.11470443251798
Writing Style,retain,English,Wilcoxon signed-rank,24,0.225,1.0,0.775,0.0,1.1962002622518817e-05,Yes,3.2535715712657463
Narrative Voice,retain,English,Wilcoxon signed-rank,24,0.42083333333333334,1.0,0.5791666666666667,0.0,7.416988052097169e-06,Yes,2.4554618398712558
Character Similarity,retain,English,Wilcoxon signed-rank,24,0.39999999999999997,0.9500000000000001,0.5499999999999999,11.0,3.239084871180739e-05,Yes,1.502973243750058
Plot Structure Similarity,retain,English,Wilcoxon signed-rank,24,0.3458333333333334,1.0,0.6541666666666667,0.0,1.184730859975393e-05,Yes,3.2715742628554287
Scene Sequence Similarity,retain,English,Wilcoxon signed-rank,24,0.3541666666666667,1.0,0.6458333333333334,0.0,7.1178865539227356e-06,Yes,2.7819320010135593
WorldBuilding Similarity,retain,English,Wilcoxon signed-rank,24,0.375,0.9583333333333334,0.5833333333333334,0.0,2.726750653051484e-05,Yes,2.0661411844158653
Parody/Satire,retain,English,Wilcoxon signed-rank,24,0.10416666666666667,0.012499999999999999,-0.09166666666666667,1.0,0.034762762622228424,Yes,-0.41204118781835436
Pastiche,retain,English,Wilcoxon signed-rank,24,0.24166666666666667,0.075,-0.16666666666666666,24.5,0.038785806272356546,Yes,-0.5041823312704843
Quotation/Citation,retain,English,Wilcoxon signed-rank,24,0.08333333333333333,0.4583333333333333,0.375,6.0,0.0001216898281055223,Yes,1.0173494974687902
Scènes à Faire,retain,English,Wilcoxon signed-rank,24,0.5708333333333334,0.5916666666666667,0.020833333333333343,60.0,0.6749867139704893,No,0.06449926448823326
Exact Match,retain,Dutch,Wilcoxon signed-rank,18,0.0,0.7777777777777778,0.7777777777777778,0.0,0.0001828106329818348,Yes,1.818118685772619
BLEU,retain,Dutch,Wilcoxon signed-rank,18,0.03408532945113111,1.0,0.9659146705488687,0.0,0.0001899879575125705,Yes,52.84199841105957
ROUGE,retain,Dutch,Wilcoxon signed-rank,18,0.089038618732265,1.0,0.910961381267735,0.0,0.0001899879575125705,Yes,18.720606051185403
Writing Style,retain,Dutch,Wilcoxon signed-rank,18,0.2222222222222222,0.9555555555555555,0.7333333333333333,0.0,0.00015800361272023524,Yes,2.672519618470763
Narrative Voice,retain,Dutch,Wilcoxon signed-rank,18,0.3111111111111111,1.0,0.6888888888888889,0.0,0.00014442235572332635,Yes,2.2904818271800935
Character Similarity,retain,Dutch,Wilcoxon signed-rank,18,0.30000000000000004,1.0,0.7,0.0,0.00014717712612293674,Yes,3.042294455761236
Plot Structure Similarity,retain,Dutch,Wilcoxon signed-rank,18,0.2222222222222222,0.9888888888888889,0.7666666666666667,0.0,0.00013508289932418328,Yes,3.0702808890955717
Scene Sequence Similarity,retain,Dutch,Wilcoxon signed-rank,18,0.2777777777777778,0.8444444444444444,0.5666666666666667,3.0,0.0006347264271934937,Yes,1.2524560800440614
WorldBuilding Similarity,retain,Dutch,Wilcoxon signed-rank,18,0.19444444444444445,1.0,0.8055555555555556,0.0,0.00017356870014809627,Yes,2.3088359276463226
Parody/Satire,retain,Dutch,Wilcoxon signed-rank,18,0.0,0.05555555555555555,0.05555555555555555,0.0,0.15729920705028502,No,0.3435921354681383
Pastiche,retain,Dutch,Wilcoxon signed-rank,18,0.08333333333333333,0.2222222222222222,0.1388888888888889,4.0,0.16339423080314586,No,0.31043820977155473
Quotation/Citation,retain,Dutch,Wilcoxon signed-rank,18,0.0,0.22777777777777775,0.22777777777777775,0.0,0.004957885081270752,Yes,0.9409833090462207
Scènes à Faire,retain,Dutch,Wilcoxon signed-rank,18,0.5111111111111112,0.6444444444444445,0.13333333333333336,37.5,0.19945760982062188,No,0.3689663075893735
