Metric,Category,Split,Language,Test,Equivalence_bounds,Baseline_mean,Treated_mean,Mean_diff,SE_diff,TOST_p,Equivalent,t1,p1,t2,p2
BLEU,Computational,retain,English,TOST,"[-0.1, 0.1]",0.09250307010555814,1.0,0.9074969298944419,0.015572068561488952,1.0,No,64.69897855356656,0.0,51.8554697281163,1.0
ROUGE,Computational,retain,English,TOST,"[-0.1, 0.1]",0.1517969923104505,1.0,0.8482030076895495,0.01704756284097184,1.0,No,55.62103020442626,0.0,43.889147948546075,1.0
Writing Style,Stylistic,retain,English,TOST,"[-0.1, 0.1]",0.22857142857142856,0.99,0.7614285714285715,0.05530988766458839,0.9999999999686202,No,15.574585445779029,1.9517720772910252e-13,11.958595458367647,0.9999999999686202
Narrative Voice,Stylistic,retain,English,TOST,"[-0.1, 0.1]",0.3857142857142857,0.99,0.6042857142857143,0.0587106359658129,0.99999998798307,No,11.995879497810561,3.255340441654653e-11,8.589341709385655,0.99999998798307
Character Similarity,Content,retain,English,TOST,"[-0.1, 0.1]",0.3238095238095238,0.915,0.5911904761904763,0.07516007105624062,0.999999945332361,No,9.196245645820023,1.797217930032957e-11,6.535258273278232,0.999999945332361
Plot Structure Similarity,Content,retain,English,TOST,"[-0.1, 0.1]",0.29523809523809524,0.9800000000000001,0.6847619047619049,0.05138794459543412,0.9999999999694591,No,15.271323088326673,7.460698725481052e-14,11.379359679893906,0.9999999999694591
Scene Sequence Similarity,Content,retain,English,TOST,"[-0.1, 0.1]",0.2857142857142857,0.99,0.7042857142857143,0.05622476758329837,0.9999999997700876,No,14.304829505860479,1.0650369475229127e-12,10.74767829658789,0.9999999997700876
WorldBuilding Similarity,Content,retain,English,TOST,"[-0.1, 0.1]",0.3190476190476191,0.975,0.6559523809523808,0.060452282488338574,0.9999999996897018,No,12.504943565996971,3.0242475190789264e-13,9.196549047748954,0.9999999996897018
Parody/Satire,Exceptions,retain,English,TOST,"[-0.1, 0.1]",0.09523809523809523,0.015,-0.08023809523809523,0.04639437079779568,0.3369231173358831,No,0.4259547962841154,0.3369231173358831,-3.884913021531027,0.00034044519031691716
Pastiche,Exceptions,retain,English,TOST,"[-0.1, 0.1]",0.23809523809523808,0.08,-0.15809523809523807,0.07590139393728619,0.7751747683309327,No,-0.7654040997354998,0.7751747683309327,-3.4004018201364024,0.0009118805701796484
