model,category,split,N,Mean,Std,Median
Finetuned (Dutch),Computational,Forget,11,0.96784422909296,0.08287094696867311,1.0
Finetuned (Dutch),Computational,Retain,12,0.9907407407407408,0.03207501495497925,1.0
Finetuned (Dutch),Content,Forget,11,0.9496212121212121,0.08441906350362033,1.0
Finetuned (Dutch),Content,Retain,12,0.9763888888888889,0.0382431966177265,1.0
Finetuned (Dutch),Exceptions,Forget,11,0.37083333333333335,0.13281147875424354,0.3375
Finetuned (Dutch),Exceptions,Retain,12,0.32743055555555556,0.10838370526670542,0.3020833333333333
Finetuned (Dutch),Stylistic,Forget,11,0.9666666666666667,0.06841458583924598,1.0
Finetuned (Dutch),Stylistic,Retain,12,0.9743055555555555,0.04401823734380125,1.0
Finetuned (English),Computational,Forget,9,1.0,0.0,1.0
Finetuned (English),Computational,Retain,13,1.0,0.0,1.0
Finetuned (English),Content,Forget,9,0.9891666666666666,0.019951112124390484,1.0
Finetuned (English),Content,Retain,13,0.971474358974359,0.044935851713645836,1.0
Finetuned (English),Exceptions,Forget,9,0.25305555555555553,0.07058658001191002,0.24
Finetuned (English),Exceptions,Retain,13,0.316025641025641,0.06247328488871323,0.325
Finetuned (English),Stylistic,Forget,9,1.0,0.0,1.0
Finetuned (English),Stylistic,Retain,13,0.9897435897435898,0.02849501380883701,1.0
NPO (Dutch),Computational,Forget,10,0.11238509997993176,0.03433366182031387,0.12319976469793485
NPO (Dutch),Computational,Retain,17,0.7113322206922693,0.27443017296061684,0.7499973240358138
NPO (Dutch),Content,Forget,10,0.2970833333333333,0.0627325918994246,0.325
NPO (Dutch),Content,Retain,17,0.788235294117647,0.2735926555601787,0.925
NPO (Dutch),Exceptions,Forget,10,0.28,0.09846036991827953,0.30000000000000004
NPO (Dutch),Exceptions,Retain,17,0.3897058823529412,0.1474546602798138,0.42500000000000004
NPO (Dutch),Stylistic,Forget,10,0.31,0.19801483919951526,0.29166666666666663
NPO (Dutch),Stylistic,Retain,17,0.8588235294117647,0.17069279250092753,0.95
NPO (English),Computational,Forget,11,0.1265816048596873,0.08045318551539213,0.1174997210256249
NPO (English),Computational,Retain,13,0.694826037116693,0.26982651902691335,0.6994118819776715
NPO (English),Content,Forget,11,0.22935606060606062,0.20434187750933577,0.125
NPO (English),Content,Retain,13,0.8118589743589744,0.16849557426534548,0.825
NPO (English),Exceptions,Forget,11,0.23958333333333331,0.12968645414571597,0.2
NPO (English),Exceptions,Retain,13,0.43076923076923074,0.11406496967821587,0.475
NPO (English),Stylistic,Forget,11,0.23560606060606062,0.21981971492727187,0.21666666666666667
NPO (English),Stylistic,Retain,13,0.833974358974359,0.17288609296181437,0.8333333333333334
