metric,metric_clean,category,split,Model,N,Mean,Std,Median,Rank,Omnibus_Test,Omnibus_Stat,Omnibus_p
BLEU_score,BLEU,Computational,Forget,Finetuned (Dutch),20,0.9619289340101522,0.1702589830583596,1.0,2.0,Kruskal,66.59272316339252,2.2888011948357302e-14
BLEU_score,BLEU,Computational,Forget,Finetuned (English),20,1.0,0.0,1.0,1.0,Kruskal,66.59272316339252,2.2888011948357302e-14
BLEU_score,BLEU,Computational,Forget,NPO (Dutch),20,0.1445096062696597,0.07220168201788428,0.15981700605393506,4.0,Kruskal,66.59272316339252,2.2888011948357302e-14
BLEU_score,BLEU,Computational,Forget,NPO (English),20,0.19834184249343922,0.10237480592827074,0.21061946902654868,3.0,Kruskal,66.59272316339252,2.2888011948357302e-14
BLEU_score,BLEU,Computational,Retain,Finetuned (Dutch),20,1.0,0.0,1.0,1.5,Kruskal,24.017330526315828,2.477272910407908e-05
BLEU_score,BLEU,Computational,Retain,Finetuned (English),20,1.0,0.0,1.0,1.5,Kruskal,24.017330526315828,2.477272910407908e-05
BLEU_score,BLEU,Computational,Retain,NPO (Dutch),20,0.8414506067248901,0.23391297141187012,0.9936708860759493,3.0,Kruskal,24.017330526315828,2.477272910407908e-05
BLEU_score,BLEU,Computational,Retain,NPO (English),20,0.7669988374147374,0.3027605486538751,1.0,4.0,Kruskal,24.017330526315828,2.477272910407908e-05
Character Similarity_score,Character Similarity,Content,Forget,Finetuned (Dutch),20,0.9650000000000001,0.11821033884786185,1.0,1.0,Kruskal,63.40050358072041,1.1026478638543871e-13
Character Similarity_score,Character Similarity,Content,Forget,Finetuned (English),20,0.95,0.15389675281277315,1.0,2.0,Kruskal,63.40050358072041,1.1026478638543871e-13
Character Similarity_score,Character Similarity,Content,Forget,NPO (Dutch),20,0.355,0.2187885304412267,0.5,3.0,Kruskal,63.40050358072041,1.1026478638543871e-13
Character Similarity_score,Character Similarity,Content,Forget,NPO (English),20,0.215,0.24767338424456894,0.0,4.0,Kruskal,63.40050358072041,1.1026478638543871e-13
Character Similarity_score,Character Similarity,Content,Retain,Finetuned (Dutch),20,0.9800000000000001,0.06155870112510925,1.0,1.0,Kruskal,12.507941660250617,0.0058310780523805825
Character Similarity_score,Character Similarity,Content,Retain,Finetuned (English),20,0.915,0.2109502310972899,1.0,2.0,Kruskal,12.507941660250617,0.0058310780523805825
Character Similarity_score,Character Similarity,Content,Retain,NPO (Dutch),20,0.795,0.2742933504576135,0.8,4.0,Kruskal,12.507941660250617,0.0058310780523805825
Character Similarity_score,Character Similarity,Content,Retain,NPO (English),20,0.82,0.2261811104775156,1.0,3.0,Kruskal,12.507941660250617,0.0058310780523805825
Exact Match_score,Exact Match,Computational,Forget,Finetuned (Dutch),20,0.9,0.3077935056255462,1.0,2.0,Kruskal,71.8721804511278,1.69549316369794e-15
Exact Match_score,Exact Match,Computational,Forget,Finetuned (English),20,1.0,0.0,1.0,1.0,Kruskal,71.8721804511278,1.69549316369794e-15
